,Date,AAPL_moving_avg,GOOGL_moving_avg,META_moving_avg,AMZN_moving_avg
138,03/08/2022,163.00285714285715,131.85428571428568,200.48857142857142,146.25
139,03/07/2022,164.0614285714286,132.90571428571428,203.37285714285716,148.79
140,03/04/2022,164.55285714285714,133.80714285714288,206.24857142857144,150.77714285714288
141,03/03/2022,164.10999999999999,133.19,206.01857142857142,150.6614285714286
142,03/02/2022,163.83714285714285,132.6057142857143,205.89142857142858,150.99
143,03/01/2022,163.94285714285712,132.01000000000002,205.61285714285714,151.06857142857143
144,02/28/2022,164.7542857142857,131.79285714285712,206.21571428571428,151.57
145,02/25/2022,165.81571428571428,132.17571428571426,207.00285714285715,152.21857142857144
146,02/24/2022,166.95000000000002,132.48285714285714,208.50571428571428,152.60714285714286
147,02/23/2022,167.82714285714286,132.88857142857142,209.94857142857146,153.15142857142857
148,02/22/2022,169.05142857142854,133.84428571428572,212.96285714285713,154.35999999999999
149,02/18/2022,170.16571428571427,135.10285714285712,216.67571428571426,155.61714285714285
150,02/17/2022,171.44857142857146,136.70142857142858,220.36714285714285,156.8442857142857
151,02/16/2022,172.29857142857142,137.68142857142857,222.14857142857142,157.81
152,02/15/2022,172.17142857142858,137.89000000000001,223.34428571428572,157.7871428571428
153,02/14/2022,172.11428571428573,138.8442857142857,225.64285714285714,157.9485714285714
154,02/11/2022,172.68857142857146,139.9242857142857,228.50857142857143,155.61714285714285
155,02/10/2022,173.71714285714285,141.8842857142857,243.28714285714287,155.2342857142857
156,02/09/2022,174.07285714285712,141.74428571428572,256.27714285714285,154.11857142857144
157,02/08/2022,173.85857142857142,140.8457142857143,267.8857142857143,152.45857142857145
158,02/07/2022,173.21571428571428,139.98142857142858,279.53285714285715,149.96857142857144
159,02/04/2022,171.4385714285714,138.5242857142857,289.4942857142857,147.3542857142857
160,02/03/2022,169.62428571428572,136.5157142857143,297.7142857142857,144.67285714285714
161,02/02/2022,167.75,134.20857142857145,306.6271428571429,144.8357142857143
162,02/01/2022,165.71857142857147,131.75142857142856,304.58571428571435,143.96857142857144
163,01/31/2022,163.97571428571428,130.70999999999998,302.32428571428574,142.74714285714285
164,01/28/2022,162.50857142857143,130.4257142857143,302.7957142857143,143.04714285714286
165,01/27/2022,161.9228571428571,130.67857142857144,305.34999999999997,144.80714285714285
166,01/26/2022,163.43428571428572,131.67857142857142,308.7085714285714,147.5614285714286
167,01/25/2022,165.34571428571425,133.14285714285717,314.03285714285715,150.88571428571427
168,01/24/2022,167.1185714285714,134.80714285714285,317.7942857142857,153.91714285714284
169,01/21/2022,169.1057142857143,136.32571428571427,321.3014285714285,156.86999999999998
170,01/20/2022,170.91571428571427,137.66714285714286,325.75857142857143,160.1157142857143
171,01/19/2022,172.01285714285714,138.43285714285716,327.40285714285716,161.51857142857145
172,01/18/2022,172.86142857142858,138.7042857142857,329.1457142857143,162.4114285714286
173,01/14/2022,173.1757142857143,138.9542857142857,331.19,163.03
174,01/13/2022,173.44,138.71142857142857,330.0857142857143,163.34714285714284
175,01/12/2022,174.51285714285714,139.54142857142855,331.5214285714286,164.24857142857147
176,01/11/2022,175.4385714285714,140.04999999999998,332.27571428571434,164.99
177,01/10/2022,175.49833333333333,140.10166666666666,331.9266666666667,164.92833333333334
178,01/07/2022,176.16,140.38799999999998,332.698,165.616
179,01/06/2022,177.15749999999997,141.23,332.925,166.3825
180,01/05/2022,178.87666666666667,142.39000000000001,333.08,167.42666666666665
181,01/04/2022,180.855,144.695,337.53499999999997,168.96
182,01/03/2022,182.01,144.99,338.54,170.4
