,STATE,TYPE OF PRODUCER,GENERATION
0,ME,"Combined Heat and Power, Industrial Power",1791822.0
0,ME,"Combined Heat and Power, Commercial Power",97588.0
0,ME,"Combined Heat and Power, Electric Power",383725.0
0,ME,"Electric Generators, Independent Power Producers",8676883.0
0,ME,"Electric Generators, Electric Utilities",2757.0
0,MI,"Combined Heat and Power, Industrial Power",1309135.0
0,MI,"Combined Heat and Power, Commercial Power",666788.0
0,MI,"Combined Heat and Power, Electric Power",11961234.0
0,MI,"Electric Generators, Independent Power Producers",20085706.0
0,MI,"Electric Generators, Electric Utilities",82022523.0
0,MN,"Combined Heat and Power, Industrial Power",1009953.0
0,MN,"Combined Heat and Power, Commercial Power",294467.0
0,MN,"Combined Heat and Power, Electric Power",1060443.0
0,MN,"Electric Generators, Independent Power Producers",14574805.0
0,MN,"Electric Generators, Electric Utilities",42688351.0
0,MO,"Combined Heat and Power, Industrial Power",43681.0
0,MO,"Combined Heat and Power, Commercial Power",194533.0
0,MO,"Combined Heat and Power, Electric Power",35308.0
0,MO,"Electric Generators, Independent Power Producers",6869866.0
0,MO,"Electric Generators, Electric Utilities",70672592.0
0,MS,"Combined Heat and Power, Industrial Power",1973656.0
0,MS,"Combined Heat and Power, Commercial Power",0.0
0,MS,"Electric Generators, Independent Power Producers",3203912.0
0,MS,"Electric Generators, Electric Utilities",63535757.0
0,MT,"Combined Heat and Power, Industrial Power",35041.0
0,MT,"Combined Heat and Power, Electric Power",454274.0
0,MT,"Electric Generators, Independent Power Producers",13635359.0
0,MT,"Electric Generators, Electric Utilities",10341964.0
0,NC,"Combined Heat and Power, Industrial Power",1785586.0
0,NC,"Combined Heat and Power, Commercial Power",272099.0
0,NC,"Combined Heat and Power, Electric Power",214176.0
0,NC,"Electric Generators, Independent Power Producers",18234662.0
0,NC,"Electric Generators, Electric Utilities",110756159.0
0,ND,"Combined Heat and Power, Industrial Power",151658.0
0,ND,"Combined Heat and Power, Commercial Power",1062.0
0,ND,"Electric Generators, Independent Power Producers",9138170.0
0,ND,"Electric Generators, Electric Utilities",33414347.0
0,NE,"Combined Heat and Power, Industrial Power",344119.0
0,NE,"Combined Heat and Power, Commercial Power",17924.0
0,NE,"Electric Generators, Independent Power Producers",9464488.0
0,NE,"Electric Generators, Electric Utilities",28818114.0
0,NH,"Combined Heat and Power, Industrial Power",29005.0
0,NH,"Combined Heat and Power, Commercial Power",64791.0
0,NH,"Electric Generators, Independent Power Producers",16680566.0
0,NH,"Electric Generators, Electric Utilities",660628.0
0,NJ,"Combined Heat and Power, Industrial Power",471205.0
0,NJ,"Combined Heat and Power, Commercial Power",643265.0
0,NJ,"Combined Heat and Power, Electric Power",6911564.0
0,NJ,"Electric Generators, Independent Power Producers",53297915.0
0,NJ,"Electric Generators, Electric Utilities",62574.0
0,NM,"Combined Heat and Power, Industrial Power",47907.0
0,NM,"Combined Heat and Power, Commercial Power",121998.0
0,NM,"Combined Heat and Power, Electric Power",20252.0
0,NM,"Electric Generators, Independent Power Producers",13187732.0
0,NM,"Electric Generators, Electric Utilities",21893409.0
0,NV,"Combined Heat and Power, Industrial Power",337614.0
0,NV,"Combined Heat and Power, Commercial Power",627385.0
0,NV,"Combined Heat and Power, Electric Power",2183913.0
0,NV,"Electric Generators, Independent Power Producers",11469702.0
0,NV,"Electric Generators, Electric Utilities",27261574.0
0,NY,"Combined Heat and Power, Industrial Power",823690.0
0,NY,"Combined Heat and Power, Commercial Power",1283599.0
0,NY,"Combined Heat and Power, Electric Power",11479531.0
0,NY,"Electric Generators, Independent Power Producers",74373104.0
0,NY,"Electric Generators, Electric Utilities",37266097.0
0,OH,"Combined Heat and Power, Industrial Power",746446.0
0,OH,"Combined Heat and Power, Commercial Power",253877.0
0,OH,"Combined Heat and Power, Electric Power",1593691.0
0,OH,"Electric Generators, Independent Power Producers",108186770.0
0,OH,"Electric Generators, Electric Utilities",12554826.0
0,OK,"Combined Heat and Power, Industrial Power",839102.0
0,OK,"Combined Heat and Power, Commercial Power",0.0
0,OK,"Electric Generators, Independent Power Producers",43474125.0
0,OK,"Electric Generators, Electric Utilities",36250896.0
0,OR,"Combined Heat and Power, Industrial Power",631596.0
0,OR,"Combined Heat and Power, Commercial Power",81271.0
0,OR,"Combined Heat and Power, Electric Power",5909188.0
0,OR,"Electric Generators, Independent Power Producers",14614496.0
0,OR,"Electric Generators, Electric Utilities",39845286.0
0,PA,"Combined Heat and Power, Industrial Power",2728318.0
0,PA,"Combined Heat and Power, Commercial Power",384085.0
0,PA,"Combined Heat and Power, Electric Power",7924378.0
